id,dataset,epochs,pretrained,edges,flip,batch_size,image_size,seed,train_perc,val_perc,test_perc,learning_rate,decay_factor,decay_rate,dropout_1,dropout_2
run_01,ck_plus_48.npz,100,1,0,1,32,48,123,0.7,0.15,0.15,0.002,10,1,0,0.2
run_02,ck_plus_48.npz,100,1,0,1,32,48,123,0.7,0.15,0.15,0.002,9,1,0,0.2
run_03,ck_plus_48.npz,100,1,0,1,32,48,123,0.7,0.15,0.15,0.002,8,1,0,0.2
run_04,ck_plus_48.npz,100,1,0,1,32,48,123,0.7,0.15,0.15,0.002,7,1,0,0.2
run_05,ck_plus_48.npz,100,1,0,1,32,48,123,0.7,0.15,0.15,0.002,6,1,0,0.2
run_06,ck_plus_48.npz,100,1,0,1,32,48,123,0.7,0.15,0.15,0.002,5,1,0,0.2
run_07,ck_plus_48.npz,100,1,0,1,32,48,123,0.7,0.15,0.15,0.002,4,1,0,0.2
run_08,ck_plus_48.npz,100,1,0,1,32,48,123,0.7,0.15,0.15,0.002,3,1,0,0.2
run_09,ck_plus_48.npz,100,1,0,1,32,48,123,0.7,0.15,0.15,0.002,2,1,0,0.2
run_10,jaffe_nofear.npz,100,1,0,1,8,48,123,0.7,0.15,0.15,0.0025,1,1,0,0.2
run_11,jaffe_nofear.npz,100,1,0,1,8,48,123,0.7,0.15,0.15,0.0025,10,1,0,0.2
run_12,jaffe_nofear.npz,100,1,0,1,8,48,123,0.7,0.15,0.15,0.0025,10,1,0,0.2
run_13,jaffe_nofear.npz,100,1,0,1,8,48,123,0.7,0.15,0.15,0.0025,10,1,0,0.2
run_14,jaffe_nofear.npz,100,1,0,1,8,48,123,0.7,0.15,0.15,0.0025,10,1,0,0.2
run_15,jaffe_nofear.npz,100,1,0,1,6,48,123,0.7,0.15,0.15,0.0025,10,1,0,0.2
run_16,jaffe_nofear.npz,100,1,0,1,6,48,123,0.7,0.15,0.15,0.0025,10,1,0,0.2
run_17,jaffe_nofear.npz,100,1,0,1,6,48,123,0.7,0.15,0.15,0.0025,10,1,0,0.2
run_18,jaffe_nofear.npz,100,1,0,1,6,48,123,0.7,0.15,0.15,0.0025,10,1,0,0.2
run_19,jaffe_nofear.npz,100,1,0,1,6,48,123,0.7,0.15,0.15,0.0025,10,1,0,0.2
run_20,jaffe_nofear.npz,100,1,0,1,4,48,123,0.7,0.15,0.15,0.0025,10,1,0,0.2
run_21,jaffe_nofear.npz,100,1,0,1,4,48,123,0.7,0.15,0.15,0.0025,10,1,0,0.2
run_22,jaffe_nofear.npz,100,1,0,1,4,48,123,0.7,0.15,0.15,0.0025,10,1,0,0.2
run_23,jaffe_nofear.npz,100,1,0,1,4,48,123,0.7,0.15,0.15,0.0025,10,1,0,0.2
run_24,jaffe_nofear.npz,100,1,0,1,4,48,123,0.7,0.15,0.15,0.0025,10,1,0,0.2
run_25,jaffe.npz,100,1,0,1,12,48,123,0.7,0.15,0.15,0.0025,10,1,0,0.2
run_26,jaffe.npz,100,1,0,1,12,48,123,0.7,0.15,0.15,0.0025,10,1,0,0.2
run_27,jaffe.npz,100,1,0,1,12,48,123,0.7,0.15,0.15,0.0025,10,1,0,0.2
run_28,jaffe.npz,100,1,0,1,12,48,123,0.7,0.15,0.15,0.0025,10,1,0,0.2
