id,accuracy,loss,epochs,minutes
run_01,0.9297,0.2462,100,1.767
run_02,0.9375,0.248,79,1.811
run_03,0.9219,0.2442,81,1.811
run_04,0.9297,0.247,78,1.76
run_05,0.9375,0.2451,76,1.72
run_06,0.9375,0.2253,72,3.363
run_07,0.9531,0.2195,74,5.007
run_08,0.9219,0.2593,77,6.709
run_09,0.9531,0.2108,79,8.459
run_10,0.5833,1.0348,67,9.075
run_11,0.5,1.1385,50,9.549
run_12,0.5833,0.9173,82,10.304
run_13,0.6667,1.1931,82,11.057
run_14,0.6667,1.1315,77,11.783
run_15,0.5833,1.0297,62,12.564
run_16,0.5833,1.155,62,13.327
run_17,0.625,1.2419,49,13.943
run_18,0.6667,1.0963,54,14.616
run_19,0.5417,1.1705,66,15.436
run_20,0.7083,1.0009,56,16.263
run_21,0.5833,1.0002,47,16.956
run_22,0.5833,1.0165,68,17.885
run_23,0.5833,1.0608,45,18.55
run_24,0.5833,1.3387,67,19.482
run_25,0.5417,1.3477,61,20.08
run_26,0.6667,1.1379,100,20.995
run_27,0.375,1.3382,86,21.809
run_28,0.4583,1.2787,71,22.489
run_29,0.4583,1.313,63,23.097
run_30,0.5938,1.3055,36,23.52
run_31,0.4688,1.425,36,23.92
run_32,0.5312,1.33,57,24.555
run_33,0.5625,1.1898,49,25.11
run_34,0.5,1.193,65,25.804
run_35,0.6667,1.1269,78,26.86
run_36,0.5333,1.3138,69,27.813
run_37,0.5667,1.46,28,28.239
run_38,0.6,1.3371,51,29.0
run_39,0.5667,1.4055,36,29.532
run_40,0.5938,1.2338,28,30.043
run_41,0.6562,1.1744,29,30.59
run_42,0.5625,1.2086,22,31.018
run_43,0.5312,1.3436,17,31.355
run_44,0.625,1.2545,34,31.994
run_45,0.5938,1.042,90,32.932
run_46,0.625,1.2013,48,33.467
run_47,0.5625,1.3658,59,34.133
run_48,0.6875,1.2411,36,34.561
run_49,0.4688,1.3614,48,35.113
run_50,0.4062,1.4299,35,35.552
run_51,0.6667,1.1363,50,0.747
run_52,0.625,1.0968,42,0.594
run_53,0.5833,1.2168,24,0.369
run_54,0.625,1.1274,41,0.583
run_55,0.625,1.0834,31,0.46
run_56,0.6667,1.3328,21,0.316
run_57,0.7917,0.9695,61,0.914
run_58,0.5,1.2892,24,0.372
run_59,0.5833,1.1432,19,0.306
run_60,0.5,1.4877,16,0.246
run_61,0.625,1.1826,49,0.706
run_62,0.625,1.1813,40,0.562
run_63,0.5833,1.2927,25,0.372
run_64,0.625,1.1397,37,0.517
run_65,0.625,1.1115,31,0.47
run_66,0.6667,1.3473,24,0.391
run_67,0.75,0.9501,55,0.827
run_68,0.4583,1.332,24,0.385
run_69,0.5417,1.1851,20,0.332
run_70,0.5,1.4563,17,0.284
run_71,0.6667,1.1188,51,0.747
